"","bearyear.sampled","Bear.Id","Year","Follicles","Cortisol.kit","year.sampled","year.represent","bearyear.represent","sex","age","reprostatus.represent","CORT_corrected","fFOL"
"965","W9301_2010","W9301",2010,2,2,2010,2009,"W9301_2009","M",21,"SolitaryM",9.76,"2"
"966","W9304_1994","W9304",1994,1,1,1994,1993,"W9304_1993","M",3,"SolitaryM",2.13,"1"
"967","W9305_1993","W9305",1993,2,1,1993,1992,"W9305_1992","M",1,"WithMother",3.35,"2"
"968","W9306_1995","W9306",1995,1,1,1995,1994,"W9306_1994","F",3,"SolitaryF",3.63,"1"
"969","W9306_1996","W9306",1996,0,1,1996,1995,"W9306_1995","F",4,"SolitaryF",2.51,"0"
"970","W9306_1998","W9306",1998,1,1,1998,1997,"W9306_1997","F",6,"WithCubs",3.32,"1"
"971","W9307_1996","W9307",1996,0,1,1996,1995,"W9307_1995","F",4,"SolitaryF",3.74,"0"
"972","W9307_1997","W9307",1997,0,1,1997,1996,"W9307_1996","F",5,"SolitaryF",3.64,"0"
"973","W9307_2000","W9307",2000,2,1,2000,1999,"W9307_1999","F",8,"WithCubs",4.87,"2"
"975","W9307_2004","W9307",2004,1,2,2004,2003,"W9307_2003","F",12,"WithCubs",9.66,"1"
"976","W9308_1996","W9308",1996,0,1,1996,1995,"W9308_1995","F",8,"SolitaryF",2.71,"0"
"977","W9308_1998","W9308",1998,1,1,1998,1997,"W9308_1997","F",10,"WithCubs",4.24,"1"
"978","W9308_2003","W9308",2003,2,2,2003,2002,"W9308_2002","F",15,"WithCubs",9.38,"2"
"979","W9308_2006","W9308",2006,0,1,2006,2005,"W9308_2005","F",18,"WithCubs",5.01,"0"
"980","W9308_2009","W9308",2009,2,2,2009,2008,"W9308_2008","F",21,"WithCubs",13.3,"2"
"981","W9310_1996","W9310",1996,0,1,1996,1995,"W9310_1995","F",4,"SolitaryF",3.06,"0"
"982","W9310_1998","W9310",1998,2,1,1998,1997,"W9310_1997","F",6,"WithCubs",3.37,"2"
"983","W9310_2000","W9310",2000,2,1,2000,1999,"W9310_1999","F",8,"WithCubs",4.32,"2"
"984","W9310_2003","W9310",2003,2,1,2003,2002,"W9310_2002","F",11,"WithCubs",7.83,"2"
"985","W9311_1995","W9311",1995,0,1,1995,1994,"W9311_1994","M",3,"SolitaryM",4.22,"0"
"986","W9311_1996","W9311",1996,0,1,1996,1995,"W9311_1995","M",4,"SolitaryM",1.76,"0"
"987","W9311_1997","W9311",1997,0,1,1997,1996,"W9311_1996","M",5,"SolitaryM",2.83,"0"
"988","W9311_1999","W9311",1999,1,1,1999,1998,"W9311_1998","M",7,"SolitaryM",2.66,"1"
"989","W9311_2001","W9311",2001,2,1,2001,2000,"W9311_2000","M",9,"SolitaryM",3.48,"2"
"990","W9311_2003","W9311",2003,0,1,2003,2002,"W9311_2002","M",11,"SolitaryM",3.25,"0"
"991","W9311_2004","W9311",2004,0,1,2004,2003,"W9311_2003","M",12,"SolitaryM",6.17,"0"
"992","W9311_2005","W9311",2005,1,1,2005,2004,"W9311_2004","M",13,"SolitaryM",7.46,"1"
"993","W9401_1996","W9401",1996,0,1,1996,1995,"W9401_1995","M",3,"SolitaryM",3.04,"0"
"994","W9401_1997","W9401",1997,0,1,1997,1996,"W9401_1996","M",4,"SolitaryM",2.95,"0"
"995","W9401_2001","W9401",2001,2,1,2001,2000,"W9401_2000","M",8,"SolitaryM",3.97,"2"
