,X,bearyear.sampled,Bear.ID,Year,Follicles,Cortisol.kit,year.sampled,year.represent,bearyear.represent,sex,age,Repro,HCC,fFOL,Zcort,Zage
362,579,W1106_2011,W1106,2011,1,2,2011,2010,W1106_2010,F,1,Offspring accompanying mother,14.14,1,2.178623273,-0.875026006
363,580,W1107_2011,W1107,2011,0,2,2011,2010,W1107_2010,M,1,Offspring accompanying mother,9.8,0,0.956164306,-0.875026006
364,581,W1108_2011,W1108,2011,0,2,2011,2010,W1108_2010,M,1,Offspring accompanying mother,13.37,0,1.961735392,-0.875026006
365,582,W1109_2011,W1109,2011,1,2,2011,2010,W1109_2010,M,1,Offspring accompanying mother,11.99,1,1.573027241,-0.875026006
366,583,W1110_2011,W1110,2011,1,2,2011,2010,W1110_2010,F,1,Offspring accompanying mother,12.01,1,1.578660693,-0.875026006
367,585,W1110_2015,W1110,2015,0,2,2015,2014,W1110_2014,F,5,Solitary female,4.7,0,-0.480365817,-0.083099771
368,586,W1110_2016,W1110,2016,2,2,2016,2015,W1110_2015,F,6,Solitary female,7.51,2,0.311134114,0.114881788
369,588,W1111_2011,W1111,2011,2,2,2011,2010,W1111_2010,F,1,Offspring accompanying mother,11.45,2,1.420924052,-0.875026006
370,589,W1112_2011,W1112,2011,1,2,2011,2010,W1112_2010,F,1,Offspring accompanying mother,10.33,1,1.10545077,-0.875026006
371,590,W1112_2016,W1112,2016,0,2,2016,2015,W1112_2015,F,6,Female with dependent offspring,7.77,0,0.384368983,0.114881788
372,591,W1113_2011,W1113,2011,1,2,2011,2010,W1113_2010,M,1,Offspring accompanying mother,12.07,1,1.595561047,-0.875026006
373,592,W1114_2011,W1114,2011,1,2,2011,2010,W1114_2010,F,1,Offspring accompanying mother,10.81,1,1.240653605,-0.875026006
374,593,W1201_2012,W1201,2012,1,2,2012,2011,W1201_2011,M,3,Solitary male,2.16,1,-1.195814152,-0.479062889
375,596,W1203_2013,W1203,2013,0,2,2013,2012,W1203_2012,F,5,Solitary female,3.11,0,-0.928225208,-0.083099771
376,598,W1203_2016,W1203,2016,0,2,2016,2015,W1203_2015,F,8,Female with dependent offspring,7.05,0,0.18156473,0.510844906
377,603,W1204_2012,W1204,2012,1,2,2012,2011,W1204_2011,M,1,Offspring accompanying mother,11.18,1,1.344872457,-0.875026006
378,606,W1205_2012,W1205,2012,0,2,2012,2011,W1205_2011,F,1,Offspring accompanying mother,10.08,0,1.035032627,-0.875026006
379,607,W1205_2013,W1205,2013,1,2,2013,2012,W1205_2012,F,2,Offspring accompanying mother,2.43,1,-1.119762557,-0.677044447
380,609,W1205_2015,W1205,2015,0,2,2015,2014,W1205_2014,F,4,Solitary female,6.26,0,-0.040956603,-0.28108133
381,613,W1206_2012,W1206,2012,1,2,2012,2011,W1206_2011,F,1,Offspring accompanying mother,9.33,1,0.823778197,-0.875026006
382,614,W1206_2013,W1206,2013,0,2,2013,2012,W1206_2012,F,2,Offspring accompanying mother,3.88,0,-0.711337327,-0.677044447
383,616,W1206_2015,W1206,2015,0,2,2015,2014,W1206_2014,F,4,Solitary female,6.33,0,-0.021239522,-0.28108133
384,617,W1206_2016,W1206,2016,2,2,2016,2015,W1206_2015,F,5,Solitary female,4.64,2,-0.497266171,-0.083099771
385,619,W1207_2012,W1207,2012,1,2,2012,2011,W1207_2011,M,1,Offspring accompanying mother,10.11,1,1.043482804,-0.875026006
386,620,W1208_2012,W1208,2012,2,2,2012,2011,W1208_2011,M,3,Solitary male,7.23,2,0.232265793,-0.479062889
387,621,W1209_2012,W1209,2012,1,2,2012,2011,W1209_2011,F,1,Offspring accompanying mother,9.71,1,0.930813775,-0.875026006
388,622,W1209_2016,W1209,2016,0,2,2016,2015,W1209_2015,F,5,Solitary female,8.57,0,0.609707041,-0.083099771
389,625,W1210_2013,W1210,2013,2,2,2013,2012,W1210_2012,M,5,Solitary male,7.01,2,0.170297827,-0.083099771
391,629,W1301_2013,W1301,2013,2,2,2013,2012,W1301_2012,M,1,Offspring accompanying mother,8.03,2,0.457603852,-0.875026006
392,631,W1302_2013,W1302,2013,1,2,2013,2012,W1302_2012,M,1,Offspring accompanying mother,9.64,1,0.911096694,-0.875026006
393,633,W1303_2013,W1303,2013,1,2,2013,2012,W1303_2012,F,1,Offspring accompanying mother,7.66,1,0.353385,-0.875026006
394,635,W1304_2013,W1304,2013,1,2,2013,2012,W1304_2012,F,1,Offspring accompanying mother,12.79,1,1.7983653,-0.875026006
395,637,W1304_2016,W1304,2016,0,2,2016,2015,W1304_2015,F,4,Solitary female,7.32,0,0.257616325,-0.28108133
396,642,W1305_2013,W1305,2013,1,2,2013,2012,W1305_2012,F,1,Offspring accompanying mother,9.81,1,0.958981032,-0.875026006
397,644,W1305_2016,W1305,2016,0,2,2016,2015,W1305_2015,F,4,Solitary female,6.98,0,0.16184765,-0.28108133
398,645,W1306_2013,W1306,2013,2,2,2013,2012,W1306_2012,M,1,Offspring accompanying mother,8.84,2,0.685758636,-0.875026006
399,646,W1307_2013,W1307,2013,1,2,2013,2012,W1307_2012,M,1,Offspring accompanying mother,12.35,1,1.674429368,-0.875026006
400,648,W1308_2013,W1308,2013,2,2,2013,2012,W1308_2012,M,1,Offspring accompanying mother,11.34,2,1.389940069,-0.875026006
401,650,W1309_2013,W1309,2013,0,2,2013,2012,W1309_2012,F,1,Offspring accompanying mother,10.79,0,1.235020154,-0.875026006
402,651,W1310_2013,W1310,2013,1,2,2013,2012,W1310_2012,F,1,Offspring accompanying mother,9.72,1,0.9336305,-0.875026006
403,655,W1311_2013,W1311,2013,0,2,2013,2012,W1311_2012,F,1,Offspring accompanying mother,6.95,0,0.153397473,-0.875026006
404,659,W1312_2013,W1312,2013,1,2,2013,2012,W1312_2012,M,5,Solitary male,8.82,1,0.680125185,-0.083099771
405,662,W1314_2013,W1314,2013,0,2,2013,2012,W1314_2012,M,4,Solitary male,5.14,0,-0.356429884,-0.28108133
406,664,W1315_2013,W1315,2013,1,2,2013,2012,W1315_2012,F,1,Offspring accompanying mother,8.01,1,0.4519704,-0.875026006
407,665,W1316_2013,W1316,2013,1,2,2013,2012,W1316_2012,M,1,Offspring accompanying mother,9.81,1,0.958981032,-0.875026006
408,667,W1317_2013,W1317,2013,1,2,2013,2012,W1317_2012,M,1,Offspring accompanying mother,7.77,1,0.384368983,-0.875026006
409,669,W1318_2013,W1318,2013,1,2,2013,2012,W1318_2012,M,8,Solitary male,4.89,1,-0.426848028,0.510844906
410,671,W1319_2016,W1319,2016,0,2,2016,2015,W1319_2015,F,7,Female with dependent offspring,10.22,0,1.074466787,0.312863347
411,674,W1320_2012,W1320,2012,1,2,2012,2011,W1320_2011,M,5,Solitary male,5.54,1,-0.243760855,-0.083099771
412,683,W1408_2016,W1408,2016,1,2,2016,2015,W1408_2015,F,3,Solitary female,5.18,1,-0.345162982,-0.479062889
413,724,W1614_2016,W1614,2016,0,2,2016,2015,W1614_2015,F,1,Offspring accompanying mother,13.02,0,1.863149992,-0.875026006
416,876,W8807_1990,W8807,1990,2,1,1990,1989,W8807_1989,M,6,Solitary male,3.35,2,-0.86062379,0.114881788
417,877,W8807_1992,W8807,1992,2,1,1992,1991,W8807_1991,M,8,Solitary male,3.35,2,-0.86062379,0.510844906
423,884,W8808_1990,W8808,1990,2,1,1990,1989,W8808_1989,F,9,Female with dependent offspring,3.64,2,-0.778938744,0.708826465
437,898,W8905_1996,W8905,1996,0,1,1996,1995,W8905_1995,F,9,Female with dependent offspring,4.37,0,-0.573317766,0.708826465
445,906,W9001_1992,W9001,1992,1,1,1992,1991,W9001_1991,F,8,Female with dependent offspring,3.64,1,-0.778938744,0.510844906
446,907,W9002_1995,W9002,1995,2,1,1995,1994,W9002_1994,M,6,Solitary male,2.87,2,-0.995826625,0.114881788
447,908,W9003_1992,W9003,1992,2,1,1992,1991,W9003_1991,F,3,Solitary female,3.64,2,-0.778938744,-0.479062889
448,909,W9003_1996,W9003,1996,0,1,1996,1995,W9003_1995,F,7,Female with dependent offspring,4.55,0,-0.522616703,0.312863347
449,910,W9003_1997,W9003,1997,0,1,1997,1996,W9003_1996,F,8,Female with dependent offspring,3.64,0,-0.778938744,0.510844906
452,913,W9005_1992,W9005,1992,1,1,1992,1991,W9005_1991,M,3,Solitary male,3.35,1,-0.86062379,-0.479062889
453,915,W9006_1994,W9006,1994,2,1,1994,1993,W9006_1993,M,5,Solitary male,2.86,2,-0.998643351,-0.083099771
454,916,W9006_1996,W9006,1996,0,1,1996,1995,W9006_1995,M,7,Solitary male,3.09,0,-0.933858659,0.312863347
455,917,W9006_1998,W9006,1998,2,1,1998,1997,W9006_1997,M,9,Solitary male,3.35,2,-0.86062379,0.708826465
457,920,W9007_1994,W9007,1994,2,1,1994,1993,W9007_1993,F,8,Female with dependent offspring,4.19,2,-0.624018829,0.510844906
462,931,W9101_1992,W9101,1992,1,1,1992,1991,W9101_1991,F,2,Solitary female,3.64,1,-0.778938744,-0.677044447
463,932,W9101_1994,W9101,1994,2,1,1994,1993,W9101_1993,F,4,Solitary female,3.47,2,-0.826823081,-0.28108133
464,933,W9101_1995,W9101,1995,1,1,1995,1994,W9101_1994,F,5,Solitary female,3.99,1,-0.680353343,-0.083099771
465,934,W9101_1997,W9101,1997,0,1,1997,1996,W9101_1996,F,7,Solitary female,2.29,0,-1.159196718,0.312863347
466,935,W9101_1998,W9101,1998,2,1,1998,1997,W9101_1997,F,8,Female with dependent offspring,3.64,2,-0.778938744,0.510844906
469,940,W9202_1995,W9202,1995,2,1,1995,1994,W9202_1994,M,4,Solitary male,3.54,2,-0.807106001,-0.28108133
470,941,W9202_1996,W9202,1996,0,1,1996,1995,W9202_1995,M,5,Solitary male,2.53,0,-1.0915953,-0.083099771
471,942,W9202_1997,W9202,1997,0,1,1997,1996,W9202_1996,M,6,Solitary male,2.55,0,-1.085961849,0.114881788
472,943,W9202_1998,W9202,1998,2,1,1998,1997,W9202_1997,M,7,Solitary male,2.62,2,-1.066244769,0.312863347
473,944,W9203_1992,W9203,1992,1,1,1992,1991,W9203_1991,F,1,Offspring accompanying mother,3.64,1,-0.778938744,-0.875026006
474,946,W9205_1992,W9205,1992,2,1,1992,1991,W9205_1991,M,1,Offspring accompanying mother,3.35,2,-0.86062379,-0.875026006
475,947,W9206_1992,W9206,1992,1,1,1992,1991,W9206_1991,M,1,Offspring accompanying mother,3.35,1,-0.86062379,-0.875026006
476,948,W9206_1997,W9206,1997,0,1,1997,1996,W9206_1996,M,6,Solitary male,3.35,0,-0.86062379,0.114881788
477,949,W9207_1992,W9207,1992,1,1,1992,1991,W9207_1991,F,1,Offspring accompanying mother,3.64,1,-0.778938744,-0.875026006
478,950,W9207_1996,W9207,1996,0,1,1996,1995,W9207_1995,F,5,Female with dependent offspring,4.59,0,-0.5113498,-0.083099771
479,951,W9208_1992,W9208,1992,1,1,1992,1991,W9208_1991,F,1,Offspring accompanying mother,3.64,1,-0.778938744,-0.875026006
480,952,W9208_1993,W9208,1993,2,1,1993,1992,W9208_1992,F,2,Solitary female,3.64,2,-0.778938744,-0.677044447
481,953,W9208_1994,W9208,1994,2,1,1994,1993,W9208_1993,F,3,Solitary female,4.04,2,-0.666269715,-0.479062889
482,954,W9208_1996,W9208,1996,0,1,1996,1995,W9208_1995,F,5,Solitary female,3.53,0,-0.809922727,-0.083099771
483,955,W9208_1997,W9208,1997,0,1,1997,1996,W9208_1996,F,6,Female with dependent offspring,3.64,0,-0.778938744,0.114881788
484,956,W9301_1994,W9301,1994,2,1,1994,1993,W9301_1993,M,5,Solitary male,2.99,2,-0.962025917,-0.083099771
485,957,W9301_1998,W9301,1998,0,1,1998,1997,W9301_1997,M,9,Solitary male,2.75,0,-1.029627334,0.708826465
493,966,W9304_1994,W9304,1994,1,1,1994,1993,W9304_1993,M,3,Solitary male,2.13,1,-1.204264329,-0.479062889
494,967,W9305_1993,W9305,1993,2,1,1993,1992,W9305_1992,M,1,Offspring accompanying mother,3.35,2,-0.86062379,-0.875026006
495,968,W9306_1995,W9306,1995,1,1,1995,1994,W9306_1994,F,3,Solitary female,3.63,1,-0.78175547,-0.479062889
496,969,W9306_1996,W9306,1996,0,1,1996,1995,W9306_1995,F,4,Solitary female,2.51,0,-1.097228752,-0.28108133
497,970,W9306_1998,W9306,1998,1,1,1998,1997,W9306_1997,F,6,Female with dependent offspring,3.32,1,-0.869073967,0.114881788
498,971,W9307_1996,W9307,1996,0,1,1996,1995,W9307_1995,F,4,Solitary female,3.74,0,-0.750771487,-0.28108133
499,972,W9307_1997,W9307,1997,0,1,1997,1996,W9307_1996,F,5,Solitary female,3.64,0,-0.778938744,-0.083099771
500,973,W9307_2000,W9307,2000,2,1,2000,1999,W9307_1999,F,8,Female with dependent offspring,4.87,2,-0.432481479,0.510844906
502,976,W9308_1996,W9308,1996,0,1,1996,1995,W9308_1995,F,8,Solitary female,2.71,0,-1.040894237,0.510844906
507,981,W9310_1996,W9310,1996,0,1,1996,1995,W9310_1995,F,4,Solitary female,3.06,0,-0.942308836,-0.28108133
508,982,W9310_1998,W9310,1998,2,1,1998,1997,W9310_1997,F,6,Female with dependent offspring,3.37,2,-0.854990339,0.114881788
509,983,W9310_2000,W9310,2000,2,1,2000,1999,W9310_1999,F,8,Female with dependent offspring,4.32,2,-0.587401394,0.510844906
511,985,W9311_1995,W9311,1995,0,1,1995,1994,W9311_1994,M,3,Solitary male,4.22,0,-0.615568652,-0.479062889
512,986,W9311_1996,W9311,1996,0,1,1996,1995,W9311_1995,M,4,Solitary male,1.76,0,-1.308483181,-0.28108133
513,987,W9311_1997,W9311,1997,0,1,1997,1996,W9311_1996,M,5,Solitary male,2.83,0,-1.007093528,-0.083099771
514,988,W9311_1999,W9311,1999,1,1,1999,1998,W9311_1998,M,7,Solitary male,2.66,1,-1.054977866,0.312863347
515,989,W9311_2001,W9311,2001,2,1,2001,2000,W9311_2000,M,9,Solitary male,3.48,2,-0.824006356,0.708826465
519,993,W9401_1996,W9401,1996,0,1,1996,1995,W9401_1995,M,3,Solitary male,3.04,0,-0.947942288,-0.479062889
520,994,W9401_1997,W9401,1997,0,1,1997,1996,W9401_1996,M,4,Solitary male,2.95,0,-0.973292819,-0.28108133
521,995,W9401_2001,W9401,2001,2,1,2001,2000,W9401_2000,M,8,Solitary male,3.97,2,-0.685986795,0.510844906
523,997,W9402_1994,W9402,1994,1,1,1994,1993,W9402_1993,F,1,Offspring accompanying mother,4.36,1,-0.576134491,-0.875026006
524,998,W9402_1995,W9402,1995,2,1,1995,1994,W9402_1994,F,2,Solitary female,4.8,2,-0.452198559,-0.677044447
525,999,W9402_1997,W9402,1997,0,1,1997,1996,W9402_1996,F,4,Solitary female,2.31,0,-1.153563266,-0.28108133
526,1000,W9403_1994,W9403,1994,1,1,1994,1993,W9403_1993,F,1,Offspring accompanying mother,4.39,1,-0.567684314,-0.875026006
527,1001,W9403_1996,W9403,1996,1,1,1996,1995,W9403_1995,F,3,Solitary female,3.6,1,-0.790205647,-0.479062889
528,1002,W9403_1997,W9403,1997,0,1,1997,1996,W9403_1996,F,4,Solitary female,2.19,0,-1.187363975,-0.28108133
529,1003,W9403_2000,W9403,2000,2,1,2000,1999,W9403_1999,F,7,Female with dependent offspring,3.94,2,-0.694436972,0.312863347
537,1014,W9404_1996,W9404,1996,2,1,1996,1995,W9404_1995,F,3,Solitary female,3.14,2,-0.919775031,-0.479062889
538,1015,W9404_1997,W9404,1997,0,1,1997,1996,W9404_1996,F,4,Solitary female,2.67,0,-1.05216114,-0.28108133
539,1016,W9404_1999,W9404,1999,2,1,1999,1998,W9404_1998,F,6,Female with dependent offspring,4.33,2,-0.584584669,0.114881788
541,1019,W9406_1994,W9406,1994,1,1,1994,1993,W9406_1993,F,1,Offspring accompanying mother,3.64,1,-0.778938744,-0.875026006
542,1020,W9407_1995,W9407,1995,1,1,1995,1994,W9407_1994,M,2,Solitary male,3.91,1,-0.702887149,-0.677044447
543,1021,W9407_1996,W9407,1996,1,1,1996,1995,W9407_1995,M,3,Solitary male,3.58,1,-0.795839098,-0.479062889
544,1022,W9408_1994,W9408,1994,1,1,1994,1993,W9408_1993,F,1,Offspring accompanying mother,3.64,1,-0.778938744,-0.875026006
545,1023,W9502_1995,W9502,1995,0,1,1995,1994,W9502_1994,F,1,Offspring accompanying mother,3.54,0,-0.807106001,-0.875026006
546,1024,W9502_1998,W9502,1998,0,1,1998,1997,W9502_1997,F,4,Solitary female,2.96,0,-0.970476094,-0.28108133
547,1025,W9502_2000,W9502,2000,2,1,2000,1999,W9502_1999,F,6,Female with dependent offspring,3.87,2,-0.714154052,0.114881788
549,1028,W9503_1995,W9503,1995,0,1,1995,1994,W9503_1994,F,1,Offspring accompanying mother,3.92,0,-0.700070424,-0.875026006
550,1029,W9503_1996,W9503,1996,1,1,1996,1995,W9503_1995,F,2,Solitary female,4.56,1,-0.519799977,-0.677044447
551,1030,W9503_1998,W9503,1998,0,1,1998,1997,W9503_1997,F,4,Solitary female,2.62,0,-1.066244769,-0.28108133
552,1031,W9504_1995,W9504,1995,0,1,1995,1994,W9504_1994,F,1,Offspring accompanying mother,4.05,0,-0.663452989,-0.875026006
553,1032,W9504_1996,W9504,1996,2,1,1996,1995,W9504_1995,F,2,Solitary female,3.76,2,-0.745138035,-0.677044447
554,1033,W9504_1997,W9504,1997,0,1,1997,1996,W9504_1996,F,3,Solitary female,3.44,0,-0.835273259,-0.479062889
555,1034,W9504_2000,W9504,2000,2,1,2000,1999,W9504_1999,F,6,Female with dependent offspring,4.69,2,-0.483182542,0.114881788
556,1035,W9505_1996,W9505,1996,2,1,1996,1995,W9505_1995,M,8,Solitary male,2.76,2,-1.026810608,0.510844906
557,1036,W9505_1997,W9505,1997,0,1,1997,1996,W9505_1996,M,9,Solitary male,3.87,0,-0.714154052,0.708826465
559,1039,W9506_1995,W9506,1995,0,1,1995,1994,W9506_1994,M,1,Offspring accompanying mother,5.12,0,-0.362063336,-0.875026006
560,1040,W9506_1997,W9506,1997,0,1,1997,1996,W9506_1996,M,3,Solitary male,3.05,0,-0.945125562,-0.479062889
561,1041,W9506_1998,W9506,1998,0,1,1998,1997,W9506_1997,M,4,Solitary male,2.21,0,-1.181730524,-0.28108133
562,1042,W9506_1999,W9506,1999,2,1,1999,1998,W9506_1998,M,5,Solitary male,2.38,2,-1.133846186,-0.083099771
563,1043,W9507_1995,W9507,1995,2,1,1995,1994,W9507_1994,F,1,Offspring accompanying mother,3.62,2,-0.784572196,-0.875026006
564,1044,W9507_1996,W9507,1996,2,1,1996,1995,W9507_1995,F,2,Solitary female,4.94,2,-0.412764399,-0.677044447
565,1045,W9507_1997,W9507,1997,0,1,1997,1996,W9507_1996,F,3,Solitary female,3.24,0,-0.891607773,-0.479062889
566,1046,W9507_1998,W9507,1998,2,1,1998,1997,W9507_1997,F,4,Solitary female,2.77,2,-1.023993883,-0.28108133
567,1047,W9507_1999,W9507,1999,2,1,1999,1998,W9507_1998,F,5,Solitary female,3.38,2,-0.852173613,-0.083099771
568,1048,W9508_1995,W9508,1995,2,1,1995,1994,W9508_1994,M,1,Offspring accompanying mother,5.4,2,-0.283195015,-0.875026006
569,1049,W9508_1996,W9508,1996,2,1,1996,1995,W9508_1995,M,2,Solitary male,4.66,2,-0.49163272,-0.677044447
570,1050,W9508_1997,W9508,1997,0,1,1997,1996,W9508_1996,M,3,Solitary male,2.89,0,-0.990193174,-0.479062889
571,1051,W9508_1998,W9508,1998,0,1,1998,1997,W9508_1997,M,4,Solitary male,2.66,0,-1.054977866,-0.28108133
572,1052,W9509_1995,W9509,1995,2,1,1995,1994,W9509_1994,M,1,Offspring accompanying mother,4.7,2,-0.480365817,-0.875026006
573,1053,W9509_1996,W9509,1996,1,1,1996,1995,W9509_1995,M,2,Solitary male,4.41,1,-0.562050863,-0.677044447
574,1054,W9510_1995,W9510,1995,2,1,1995,1994,W9510_1994,M,1,Offspring accompanying mother,3.23,2,-0.894424499,-0.875026006
575,1055,W9510_1996,W9510,1996,2,1,1996,1995,W9510_1995,M,2,Solitary male,3.78,2,-0.739504584,-0.677044447
576,1056,W9510_1997,W9510,1997,0,1,1997,1996,W9510_1996,M,3,Solitary male,2.62,0,-1.066244769,-0.479062889
578,1058,W9601_1996,W9601,1996,1,1,1996,1995,W9601_1995,F,1,Offspring accompanying mother,4.54,1,-0.525433428,-0.875026006
579,1059,W9601_1997,W9601,1997,0,1,1997,1996,W9601_1996,F,2,Solitary female,2.99,0,-0.962025917,-0.677044447
580,1060,W9601_1998,W9601,1998,2,1,1998,1997,W9601_1997,F,3,Solitary female,3.09,2,-0.933858659,-0.479062889
581,1061,W9602_1996,W9602,1996,1,1,1996,1995,W9602_1995,F,1,Offspring accompanying mother,4.39,1,-0.567684314,-0.875026006
582,1062,W9602_1997,W9602,1997,0,1,1997,1996,W9602_1996,F,2,Solitary female,2.31,0,-1.153563266,-0.677044447
583,1063,W9603_1996,W9603,1996,1,1,1996,1995,W9603_1995,M,1,Offspring accompanying mother,4,1,-0.677536618,-0.875026006
584,1064,W9605_1996,W9605,1996,1,1,1996,1995,W9605_1995,F,1,Offspring accompanying mother,3.88,1,-0.711337327,-0.875026006
585,1065,W9605_1997,W9605,1997,0,1,1997,1996,W9605_1996,F,2,Offspring accompanying mother,2.32,0,-1.150746541,-0.677044447
586,1066,W9605_1998,W9605,1998,1,1,1998,1997,W9605_1997,F,3,Solitary female,2.44,1,-1.116945832,-0.479062889
587,1067,W9606_1996,W9606,1996,1,1,1996,1995,W9606_1995,F,1,Offspring accompanying mother,4.51,1,-0.533883605,-0.875026006
588,1068,W9607_1996,W9607,1996,1,1,1996,1995,W9607_1995,F,1,Offspring accompanying mother,4.33,1,-0.584584669,-0.875026006
589,1069,W9608_1996,W9608,1996,0,1,1996,1995,W9608_1995,M,1,Offspring accompanying mother,4.63,0,-0.500082897,-0.875026006
590,1070,W9608_1998,W9608,1998,0,1,1998,1997,W9608_1997,M,3,Solitary male,3.29,0,-0.877524145,-0.479062889
591,1071,W9609_1996,W9609,1996,0,1,1996,1995,W9609_1995,M,1,Offspring accompanying mother,4.95,0,-0.409947673,-0.875026006
592,1072,W9609_1997,W9609,1997,0,1,1997,1996,W9609_1996,M,2,Solitary male,3.77,0,-0.74232131,-0.677044447
593,1073,W9609_1998,W9609,1998,2,1,1998,1997,W9609_1997,M,3,Solitary male,3.32,2,-0.869073967,-0.479062889
594,1074,W9610_1996,W9610,1996,0,1,1996,1995,W9610_1995,M,1,Offspring accompanying mother,5.54,0,-0.243760855,-0.875026006
595,1075,W9610_1998,W9610,1998,2,1,1998,1997,W9610_1997,M,3,Solitary male,3.16,2,-0.914141579,-0.479062889
596,1076,W9611_1997,W9611,1997,0,1,1997,1996,W9611_1996,M,2,Solitary male,4,0,-0.677536618,-0.677044447
597,1077,W9611_1998,W9611,1998,2,1,1998,1997,W9611_1997,M,3,Solitary male,3.38,2,-0.852173613,-0.479062889
598,1078,W9611_1999,W9611,1999,2,1,1999,1998,W9611_1998,M,4,Solitary male,4.9,2,-0.424031302,-0.28108133
599,1079,W9612_1996,W9612,1996,0,1,1996,1995,W9612_1995,M,1,Offspring accompanying mother,3.89,0,-0.708520601,-0.875026006
600,1080,W9612_1997,W9612,1997,0,1,1997,1996,W9612_1996,M,2,Solitary male,3.85,0,-0.719787504,-0.677044447
601,1081,W9612_1998,W9612,1998,2,1,1998,1997,W9612_1997,M,3,Solitary male,3.3,2,-0.874707419,-0.479062889
602,1082,W9612_1999,W9612,1999,2,1,1999,1998,W9612_1998,M,4,Solitary male,3.35,2,-0.86062379,-0.28108133
603,1083,W9613_1996,W9613,1996,1,1,1996,1995,W9613_1995,F,1,Offspring accompanying mother,5.53,1,-0.246577581,-0.875026006
604,1084,W9614_1996,W9614,1996,1,1,1996,1995,W9614_1995,M,1,Offspring accompanying mother,4.79,1,-0.455015285,-0.875026006
605,1085,W9614_1998,W9614,1998,2,1,1998,1997,W9614_1997,M,3,Solitary male,3.33,2,-0.866257242,-0.479062889
606,1086,W9615_1996,W9615,1996,1,1,1996,1995,W9615_1995,F,1,Offspring accompanying mother,5.77,1,-0.178976163,-0.875026006
607,1087,W9615_2003,W9615,2003,2,1,2003,2002,W9615_2002,F,8,Female with dependent offspring,4.58,2,-0.514166525,0.510844906
612,1092,W9701_1997,W9701,1997,0,1,1997,1996,W9701_1996,M,1,Offspring accompanying mother,4.98,0,-0.401497496,-0.875026006
613,1093,W9702_1997,W9702,1997,0,1,1997,1996,W9702_1996,M,1,Offspring accompanying mother,4.31,0,-0.59021812,-0.875026006
614,1094,W9703_1997,W9703,1997,0,1,1997,1996,W9703_1996,F,1,Offspring accompanying mother,3.75,0,-0.747954761,-0.875026006
615,1095,W9704_1997,W9704,1997,0,1,1997,1996,W9704_1996,M,1,Offspring accompanying mother,3.33,0,-0.866257242,-0.875026006
616,1096,W9705_1997,W9705,1997,0,1,1997,1996,W9705_1996,M,1,Offspring accompanying mother,2.5,0,-1.100045477,-0.875026006
617,1097,W9801_1998,W9801,1998,1,1,1998,1997,W9801_1997,M,1,Offspring accompanying mother,4.11,1,-0.646552635,-0.875026006
619,1099,W9803_1998,W9803,1998,2,1,1998,1997,W9803_1997,F,1,Offspring accompanying mother,3.65,2,-0.776122018,-0.875026006
620,1100,W9804_1998,W9804,1998,2,1,1998,1997,W9804_1997,F,1,Offspring accompanying mother,4.18,2,-0.626835555,-0.875026006
621,1101,W9804_2001,W9804,2001,2,1,2001,2000,W9804_2000,F,4,Solitary female,4.53,2,-0.528250154,-0.28108133
622,1102,W9804_2003,W9804,2003,1,2,2003,2002,W9804_2002,F,6,Female with dependent offspring,16.2,1,2.758868774,0.114881788
623,1103,W9804_2005,W9804,2005,2,1,2005,2004,W9804_2004,F,8,Female with dependent offspring,4.45,2,-0.55078396,0.510844906
624,1104,W9805_1998,W9805,1998,2,1,1998,1997,W9805_1997,F,1,Offspring accompanying mother,4.69,2,-0.483182542,-0.875026006
625,1106,W9806_1999,W9806,1999,2,1,1999,1998,W9806_1998,F,3,Solitary female,4.53,2,-0.528250154,-0.479062889
626,1107,W9806_2000,W9806,2000,2,1,2000,1999,W9806_1999,F,4,Solitary female,9.85,2,0.970247935,-0.28108133
627,1108,W9806_2005,W9806,2005,2,1,2005,2004,W9806_2004,F,9,Female with dependent offspring,5.18,2,-0.345162982,0.708826465
630,1112,W9808_1998,W9808,1998,1,1,1998,1997,W9808_1997,F,1,Offspring accompanying mother,4.65,1,-0.494449445,-0.875026006
631,1114,W9809_1998,W9809,1998,0,1,1998,1997,W9809_1997,M,1,Offspring accompanying mother,3.81,0,-0.731054407,-0.875026006
634,1118,W9812_1998,W9812,1998,1,1,1998,1997,W9812_1997,F,1,Offspring accompanying mother,5.36,1,-0.294461918,-0.875026006
635,1119,W9812_1998,W9812,1998,1,1,1998,1997,W9812_1997,F,1,Offspring accompanying mother,3.56,1,-0.80147255,-0.875026006
636,1120,W9812_1998,W9812,1998,2,1,1998,1997,W9812_1997,F,1,Offspring accompanying mother,5.36,2,-0.294461918,-0.875026006
637,1121,W9812_1998,W9812,1998,2,1,1998,1997,W9812_1997,F,1,Offspring accompanying mother,3.56,2,-0.80147255,-0.875026006
638,1122,W9812_2000,W9812,2000,2,1,2000,1999,W9812_1999,F,3,Solitary female,3.86,2,-0.716970778,-0.479062889
639,1123,W9813_1998,W9813,1998,1,1,1998,1997,W9813_1997,M,1,Offspring accompanying mother,3.98,1,-0.683170069,-0.875026006
640,1124,W9814_1998,W9814,1998,1,1,1998,1997,W9814_1997,F,1,Offspring accompanying mother,4.23,1,-0.612751926,-0.875026006
641,1125,W9814_2001,W9814,2001,2,1,2001,2000,W9814_2000,F,4,Solitary female,4.33,2,-0.584584669,-0.28108133
