,X,bearyear.sampled,Bear.ID,Year,Follicles,Cortisol.kit,year.sampled,year.represent,bearyear.represent,sex,age,Repro,HCC,fFOL,Zcort,Zage
181,327,W0614_2006,W0614,2006,2,1,2006,2005,W0614_2005,M,1,Offspring accompanying mother,6.13,2,-0.077574037,-0.875026006
182,328,W0615_2006,W0615,2006,2,1,2006,2005,W0615_2005,M,1,Offspring accompanying mother,7.22,2,0.229449068,-0.875026006
183,330,W0616_2009,W0616,2009,1,2,2009,2008,W0616_2008,F,4,Solitary female,8.81,1,0.677308459,-0.28108133
184,331,W0616_2010,W0616,2010,1,2,2010,2009,W0616_2009,F,5,Solitary female,4.83,1,-0.443748382,-0.083099771
185,333,W0618_2006,W0618,2006,2,2,2006,2005,W0618_2005,M,1,Offspring accompanying mother,9.66,2,0.916730146,-0.875026006
186,334,W0618_2007,W0618,2007,2,1,2007,2006,W0618_2006,M,2,Offspring accompanying mother,3.04,2,-0.947942288,-0.677044447
187,335,W0619_2006,W0619,2006,1,2,2006,2005,W0619_2005,M,1,Offspring accompanying mother,7.54,1,0.319584291,-0.875026006
188,336,W0619_2007,W0619,2007,2,1,2007,2006,W0619_2006,M,2,Offspring accompanying mother,4.04,2,-0.666269715,-0.677044447
189,339,W0620_2009,W0620,2009,2,2,2009,2008,W0620_2008,F,4,Solitary female,9.21,2,0.789977488,-0.28108133
190,340,W0620_2012,W0620,2012,2,2,2012,2011,W0620_2011,F,7,Female with dependent offspring,8,2,0.449153675,0.312863347
191,341,W0620_2013,W0620,2013,1,2,2013,2012,W0620_2012,F,8,Solitary female,31.33,1,7.020574805,0.510844906
193,344,W0621_2006,W0621,2006,2,1,2006,2005,W0621_2005,F,1,Offspring accompanying mother,4.53,2,-0.528250154,-0.875026006
194,345,W0621_2009,W0621,2009,2,2,2009,2008,W0621_2008,F,4,Solitary female,6.99,2,0.164664376,-0.28108133
195,346,W0621_2011,W0621,2011,1,2,2011,2010,W0621_2010,F,6,Solitary female,7.05,1,0.18156473,0.114881788
196,347,W0621_2013,W0621,2013,1,2,2013,2012,W0621_2012,F,8,Female with dependent offspring,27.41,1,5.916418318,0.510844906
198,350,W0622_2006,W0622,2006,1,1,2006,2005,W0622_2005,F,1,Offspring accompanying mother,7.58,1,0.330851194,-0.875026006
199,351,W0622_2009,W0622,2009,1,2,2009,2008,W0622_2008,F,4,Solitary female,13.05,1,1.871600169,-0.28108133
200,352,W0622_2010,W0622,2010,2,2,2010,2009,W0622_2009,F,5,Solitary female,4.67,2,-0.488815994,-0.083099771
201,353,W0623_2006,W0623,2006,2,1,2006,2005,W0623_2005,F,1,Offspring accompanying mother,5.4,2,-0.283195015,-0.875026006
202,354,W0623_2009,W0623,2009,2,2,2009,2008,W0623_2008,F,4,Solitary female,9.14,2,0.770260408,-0.28108133
203,355,W0623_2011,W0623,2011,1,2,2011,2010,W0623_2010,F,6,Female with dependent offspring,10.91,1,1.268820862,0.114881788
206,366,W0625_2009,W0625,2009,1,2,2009,2008,W0625_2008,M,6,Solitary male,8.36,1,0.550555801,0.114881788
207,367,W0625_2010,W0625,2010,2,2,2010,2009,W0625_2009,M,7,Solitary male,3.76,2,-0.745138035,0.312863347
208,368,W0625_2011,W0625,2011,1,2,2011,2010,W0625_2010,M,8,Solitary male,6.96,1,0.156214199,0.510844906
209,369,W0625_2012,W0625,2012,1,2,2012,2011,W0625_2011,M,9,Solitary male,5.52,1,-0.249394307,0.708826465
211,372,W0626_2006,W0626,2006,2,1,2006,2005,W0626_2005,F,6,Female with dependent offspring,4.21,2,-0.618385377,0.114881788
212,373,W0626_2007,W0626,2007,2,1,2007,2006,W0626_2006,F,7,Solitary female,3.04,2,-0.947942288,0.312863347
213,375,W0701_2007,W0701,2007,1,2,2007,2006,W0701_2006,F,1,Offspring accompanying mother,9.56,1,0.888562889,-0.875026006
214,376,W0702_2007,W0702,2007,1,2,2007,2006,W0702_2006,F,1,Offspring accompanying mother,9.94,1,0.995598466,-0.875026006
215,378,W0703_2007,W0703,2007,1,1,2007,2006,W0703_2006,F,1,Offspring accompanying mother,5.73,1,-0.190243066,-0.875026006
216,379,W0703_2009,W0703,2009,2,2,2009,2008,W0703_2008,F,3,Solitary female,6.48,2,0.021011364,-0.479062889
217,380,W0703_2010,W0703,2010,2,2,2010,2009,W0703_2009,F,4,Solitary female,3.55,2,-0.804289276,-0.28108133
218,381,W0703_2011,W0703,2011,1,2,2011,2010,W0703_2010,F,5,Solitary female,4.3,1,-0.593034846,-0.083099771
219,383,W0705_2007,W0705,2007,0,1,2007,2006,W0705_2006,M,1,Offspring accompanying mother,4.62,0,-0.502899622,-0.875026006
220,384,W0706_2007,W0706,2007,1,1,2007,2006,W0706_2006,F,1,Offspring accompanying mother,4.62,1,-0.502899622,-0.875026006
221,385,W0706_2010,W0706,2010,2,2,2010,2009,W0706_2009,F,4,Solitary female,5.43,2,-0.274744838,-0.28108133
223,390,W0707_2007,W0707,2007,2,1,2007,2006,W0707_2006,F,1,Offspring accompanying mother,4.33,2,-0.584584669,-0.875026006
224,391,W0708_2007,W0708,2007,0,2,2007,2006,W0708_2006,M,1,Offspring accompanying mother,10.47,0,1.14488493,-0.875026006
225,392,W0709_2007,W0709,2007,1,2,2007,2006,W0709_2006,F,1,Offspring accompanying mother,11.65,1,1.477258566,-0.875026006
226,393,W0710_2007,W0710,2007,1,2,2007,2006,W0710_2006,M,1,Offspring accompanying mother,7.74,1,0.375918806,-0.875026006
227,394,W0711_2007,W0711,2007,1,1,2007,2006,W0711_2006,M,1,Offspring accompanying mother,4.62,1,-0.502899622,-0.875026006
228,398,W0713_2010,W0713,2010,2,2,2010,2009,W0713_2009,F,4,Solitary female,6.82,2,0.116780038,-0.28108133
229,399,W0713_2013,W0713,2013,2,2,2013,2012,W0713_2012,F,7,Solitary female,24.06,2,4.972815198,0.312863347
230,400,W0713_2015,W0713,2015,0,2,2015,2014,W0713_2014,F,9,Female with dependent offspring,16.66,0,2.888438158,0.708826465
231,401,W0716_2010,W0716,2010,2,2,2010,2009,W0716_2009,F,9,Female with dependent offspring,14.58,2,2.302559206,0.708826465
236,409,W0718_2009,W0718,2009,2,2,2009,2008,W0718_2008,M,9,Solitary male,9.15,2,0.773077134,0.708826465
237,410,W0718_2009,W0718,2009,2,2,2009,2008,W0718_2008,M,9,Solitary male,10.57,2,1.173052187,0.708826465
238,411,W0718_2009,W0718,2009,1,2,2009,2008,W0718_2008,M,9,Solitary male,9.15,1,0.773077134,0.708826465
239,412,W0718_2009,W0718,2009,1,2,2009,2008,W0718_2008,M,9,Solitary male,10.57,1,1.173052187,0.708826465
242,417,W0719_2010,W0719,2010,2,2,2010,2009,W0719_2009,M,8,Solitary male,3.99,2,-0.680353343,0.510844906
243,418,W0719_2011,W0719,2011,1,2,2011,2010,W0719_2010,M,9,Solitary male,8.1,1,0.477320932,0.708826465
248,429,W0802_2009,W0802,2009,1,2,2009,2008,W0802_2008,M,6,Solitary male,10.39,1,1.122351124,0.114881788
249,430,W0802_2010,W0802,2010,1,2,2010,2009,W0802_2009,M,7,Solitary male,7.63,1,0.344934823,0.312863347
250,431,W0802_2011,W0802,2011,2,2,2011,2010,W0802_2010,M,8,Solitary male,6.91,2,0.14213057,0.510844906
251,435,W0805_2009,W0805,2009,2,2,2009,2008,W0805_2008,M,7,Solitary male,10,2,1.012498821,0.312863347
252,436,W0805_2010,W0805,2010,2,2,2010,2009,W0805_2009,M,8,Solitary male,11.22,2,1.35613936,0.510844906
253,437,W0805_2011,W0805,2011,2,2,2011,2010,W0805_2010,M,9,Solitary male,9.88,2,0.978698112,0.708826465
256,441,W0806_2009,W0806,2009,2,2,2009,2008,W0806_2008,F,2,Solitary female,15.51,2,2.564514699,-0.677044447
257,442,W0806_2010,W0806,2010,2,2,2010,2009,W0806_2009,F,3,Solitary female,6.34,2,-0.018422797,-0.479062889
258,443,W0806_2011,W0806,2011,2,2,2011,2010,W0806_2010,F,4,Solitary female,9.63,2,0.908279969,-0.28108133
259,444,W0806_2012,W0806,2012,1,2,2012,2011,W0806_2011,F,5,Solitary female,6.74,1,0.094246233,-0.083099771
260,445,W0806_2013,W0806,2013,0,2,2013,2012,W0806_2012,F,6,Solitary female,6.16,0,-0.06912386,0.114881788
261,449,W0808_2009,W0808,2009,2,2,2009,2008,W0808_2008,M,2,Offspring accompanying mother,8.41,2,0.56463943,-0.677044447
262,451,W0809_2009,W0809,2009,1,2,2009,2008,W0809_2008,M,2,Offspring accompanying mother,6.65,1,0.068895701,-0.677044447
263,453,W0810_2009,W0810,2009,2,2,2009,2008,W0810_2008,M,2,Offspring accompanying mother,8.09,2,0.474504206,-0.677044447
264,454,W0810_2010,W0810,2010,2,2,2010,2009,W0810_2009,M,3,Solitary male,5.69,2,-0.201509969,-0.479062889
265,455,W0810_2011,W0810,2011,1,2,2011,2010,W0810_2010,M,4,Solitary male,4.86,1,-0.435298205,-0.28108133
266,457,W0811_2009,W0811,2009,2,2,2009,2008,W0811_2008,M,2,Offspring accompanying mother,9.97,2,1.004048644,-0.677044447
267,458,W0811_2010,W0811,2010,2,2,2010,2009,W0811_2009,M,3,Solitary male,4.38,2,-0.57050104,-0.479062889
268,459,W0811_2011,W0811,2011,2,2,2011,2010,W0811_2010,M,4,Solitary male,5.75,2,-0.184609615,-0.28108133
269,460,W0811_2012,W0811,2012,1,2,2012,2011,W0811_2011,M,5,Solitary male,5.01,1,-0.393047319,-0.083099771
270,461,W0811_2013,W0811,2013,1,2,2013,2012,W0811_2012,M,6,Solitary male,4.78,1,-0.457832011,0.114881788
271,463,W0812_2009,W0812,2009,2,2,2009,2008,W0812_2008,M,2,Offspring accompanying mother,11.08,2,1.3167052,-0.677044447
